"SMILES","Melting Point {measured}","UNIT {Melting Point}","Melting Point {measured, converted}","UNIT {Melting Point}"
"CCCCSC","-98.0 - -97.8","?C","-97.9","Celsius"
"C1C=CCC=C1","-49.2 - -49.0","?C","-49.1","Celsius"
"CC1(C)CCCC1","-70.0 - -69.8","?C","-69.9","Celsius"
"CCC(Br)CC","-126.2 - -126.0","?C","-126.0","Celsius"
"CCCCCCCCC#N","-34.2 - -34.0","?C","-34.1","Celsius"
"CCCCCCC(Cl)=O","-84.0 - -83.8","?C","-83.9","Celsius"
"CC(C)(C)C1CCCCC1","-41.2 - -41.0","?C","-41.1","Celsius"
"CCCCCCC(C)CC","-85.0 - -84.8","?C","-84.9","Celsius"
"CCCCC(C)=C","-103.0 - -102.8","?C","-103.0","Celsius"
"CCCC(C)(C)C(C)C","-117.0 - -116.8","?C","-117.0","Celsius"
"CCC(C)C(C)(C)CC","-101.2 - -101.0","?C","-101.0","Celsius"
"CC(=C)C#N","-36.0 - -35.8","?C","-35.9","Celsius"
"CC1=CC=C(C(F)=C1)[N+]([O-])=O","53.0 - 53.2","?C","53.1","Celsius"
"CCC(S)CC","-111.0 - -110.8","?C","-111.0","Celsius"
"CC(C)CC1CCCC1","-115.2 - -115.0","?C","-115.0","Celsius"
"CCCCCCC(C)=C","-78.0 - -77.8","?C","-77.9","Celsius"
"CCC(C)CC(O)CC","-91.2 - -91.0","?C","-91.1","Celsius"
"CC=C(C)C(C)C","-124.2 - -124.0","?C","-124.0","Celsius"
"COC(C)OC","-113.2 - -113.0","?C","-113.0","Celsius"
"[O-][N+](=O)C1=CC=CC=C1C1=CC=CC=C1","37.0 - 37.2","?C","37.1","Celsius"
"CNC","-92.2 - -92.0","?C","-92.1","Celsius"
"CCCCCCCCCl","-58.0 - -57.8","?C","-57.9","Celsius"
"CCCCCCCCS","-49.2 - -49.0","?C","-49.1","Celsius"
"CC(C)(C)C=C","-115.2 - -115.0","?C","-115.0","Celsius"
"ClCC(Cl)(Cl)Cl","-70.2 - -70.0","?C","-70.1","Celsius"
"CCCCCCCI","-48.2 - -48.0","?C","-48.1","Celsius"
"CC(C)CCO","-117.2 - -117.0","?C","-117.0","Celsius"
"COC(=O)C1=CC=C(I)C=C1","114.8 - 115.0","?C","115.0","Celsius"
"N#CC=CC#N","96.8 - 97.0","?C","96.9","Celsius"
"NCC=C","-88.2 - -88.0","?C","-88.1","Celsius"
"ClCC1CO1","-57.2 - -57.0","?C","-57.1","Celsius"
"SCCS","-41.2 - -41.0","?C","-41.1","Celsius"
"CC1=CC(Br)=CC=C1","-40.0 - -39.8","?C","-39.9","Celsius"
"CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1","127.8 - 128.0","?C","128.0","Celsius"
"CC1=CC(C)=C(C)C=C1","-44.0 - -43.8","?C","-43.9","Celsius"
"BrCCCBr","-34.2 - -34.0","?C","-34.1","Celsius"
"CCCCC#N","-96.2 - -96.0","?C","-96.1","Celsius"
"CCOC(=O)C=C","-71.2 - -71.0","?C","-71.1","Celsius"
"CC(C)(C)I","-38.2 - -38.0","?C","-38.1","Celsius"
"CC(C)(C)C#C","-78.2 - -78.0","?C","-78.1","Celsius"
"COCOC","-105.0 - -104.8","?C","-105.0","Celsius"
"CC1=CC(Cl)=CC=C1","-48.0 - -47.8","?C","-47.9","Celsius"
"CCCCCCCC","-57.0 - -56.8","?C","-56.9","Celsius"
"C1CCCC1","-94.0 - -93.8","?C","-93.9","Celsius"
"ClC(Cl)C(Cl)(Cl)Cl","-29.0 - -28.78","?C","-28.9","Celsius"
"C1=CC=C2N=CC=CC2=C1","-15.0 - -14.78","?C","-14.9","Celsius"
"CCC(C)C","-160.0 - -159.77","?C","-160.0","Celsius"
"[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C#N","140.75 - 141.0","?C","141.0","Celsius"
"OC(=O)CCCC(=O)C1=CC=CC=C1","127.0 - 127.25","?C","127.0","Celsius"
"NC1=CC=CC=C1","-6.29999999999995 - -6.0","?C","-6.15","Celsius"
"N#CC(C1=CC=CC=C1)C1=CC=CC=C1","74.0 - 74.3","?C","74.2","Celsius"
"CC(F)(F)F","-111.3 - -111.0","?C","-111.0","Celsius"
"CC(C)C1=CC(C)=CC=C1","-64.0 - -63.7","?C","-63.9","Celsius"
"CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC","69.7 - 70.0","?C","69.8","Celsius"
"COC(=O)C(C)C","-85.0 - -84.7","?C","-84.8","Celsius"
"CCCCC(O)CCC","-41.0 - -40.7","?C","-40.9","Celsius"
"CC1(C)CCCCC1","-33.3 - -33.0","?C","-33.1","Celsius"
"CC(C)(C)C(C)(C)C","100.7 - 101.0","?C","101.0","Celsius"
"CC(C)C=C(C)C","-128.0 - -127.7","?C","-128.0","Celsius"
"CCCCCC(=O)OCCC","-69.0 - -68.7","?C","-68.8","Celsius"
"CCCCCC#N","-80.3 - -80.0","?C","-80.2","Celsius"
"CCCCCSCCCCC","-51.3 - -51.0","?C","-51.1","Celsius"
"CCC1=CC(C)=CC(C)=C1","-84.3 - -84.0","?C","-84.2","Celsius"
"CCCC1=CC=CC=C1C","-60.3 - -60.0","?C","-60.1","Celsius"
"CCC1CCCCC1","-111.3 - -111.0","?C","-111.0","Celsius"
"CCC1=CC(C)=CC=C1C","-54.0 - -53.7","?C","-53.9","Celsius"
"CCCC1CCCC1","-117.3 - -117.0","?C","-117.0","Celsius"
"CCCCC(C)CCC","-113.3 - -113.0","?C","-113.0","Celsius"
"CC(C)CCC(C)(C)C","-106.0 - -105.7","?C","-106.0","Celsius"
"CCC(C)=C(C)C","-118.3 - -118.0","?C","-118.0","Celsius"
"CCCCC(C)CCCC","-88.0 - -87.7","?C","-87.8","Celsius"
"CCC(CC)C(C)(C)C","-99.3 - -99.0","?C","-99.2","Celsius"
"FC1=CC=C(C=C1)C(F)(F)F","-42.0 - -41.7","?C","-41.9","Celsius"
"CC(C)C#C","-90.0 - -89.7","?C","-89.8","Celsius"
"C=CCC1CCCC1","-111.0 - -110.7","?C","-111.0","Celsius"
"ClC(=O)C1=CC(=CC(=C1)C(Cl)=O)C(Cl)=O","36.0 - 36.3","?C","36.1","Celsius"
"CC(C)C(C(C)C)C(C)C","-82.0 - -81.7","?C","-81.8","Celsius"
"CC(C(C)(C)C)C(C)(C)C","-39.0 - -38.7","?C","-38.9","Celsius"
"CCC#CC(C)C","-117.0 - -116.7","?C","-117.0","Celsius"
"CCC(C)C=CC","-126.0 - -125.7","?C","-126.0","Celsius"
"CC=CCC(C)C","-124.3 - -124.0","?C","-124.0","Celsius"
"CCC1=CC=CC=C1Cl","-83.0 - -82.7","?C","-82.8","Celsius"
"CCC(C)O","-115.0 - -114.7","?C","-115.0","Celsius"
"CCCS","-113.3 - -113.0","?C","-113.0","Celsius"
"CC(C)=CC(C)(C)C","-106.3 - -106.0","?C","-106.0","Celsius"
"CCOC(=O)CC(C)C","-99.3 - -99.0","?C","-99.2","Celsius"
"CCCCCS","-76.0 - -75.7","?C","-75.8","Celsius"
"CCCCCCBr","-85.0 - -84.7","?C","-84.8","Celsius"
"CC#CC","-32.3 - -32.0","?C","-32.1","Celsius"
"CCCCSCCCC","-80.0 - -79.7","?C","-79.8","Celsius"
"CCC1=CC=C(C)C=C1","-62.3 - -62.0","?C","-62.1","Celsius"
"CCC#CC","-109.3 - -109.0","?C","-109.0","Celsius"
"CCCCCCC(C)C","-80.3 - -80.0","?C","-80.2","Celsius"
"ClC=C(Cl)Cl","-85.0 - -84.7","?C","-84.8","Celsius"
"CC(=O)OCC1=CC=CC=C1","-51.3 - -51.0","?C","-51.1","Celsius"
"ICC=C","-99.3 - -99.0","?C","-99.2","Celsius"
"CCOCC","-116.3 - -116.0","?C","-116.0","Celsius"
"CC1=CC(C)=CC(C)=C1","-45.0 - -44.7","?C","-44.9","Celsius"
"CCCCS","-116.0 - -115.7","?C","-116.0","Celsius"
"CCCCCCC=O","-43.3 - -43.0","?C","-43.1","Celsius"
"CC(C)CC(C)(C)C","-107.3 - -107.0","?C","-107.0","Celsius"
"CCCI","-101.3 - -101.0","?C","-101.0","Celsius"
"CCCCCCCCC=C","-66.3 - -66.0","?C","-66.2","Celsius"
"CCCCCC","-95.3 - -95.0","?C","-95.2","Celsius"
"ClC(Cl)(Cl)Br","-6.0 - -5.7","?C","-5.85","Celsius"
"CCCCCCCCCCCCCCCC(C)C","5.7 - 6.0","?C","5.85","Celsius"
"COCC(O)=O","7.7 - 8.0","?C","7.85","Celsius"
"CCCCCCCCCCCCC","-5.3 - -5.0","?C","-5.15","Celsius"
"CC(=O)OO","-0.2 - 0.1","?C","-0.05","Celsius"
"CCCCCCCCCCC1CCCCC1","-2.0 - -1.7","?C","-1.85","Celsius"
"ClC1=CC=CC=C1I","0.7 - 1.0","?C","0.85","Celsius"
"CCCCCCCCCCCCCl","-9.3 - -9.0","?C","-9.15","Celsius"
"CC1=CC(C)=C(C)C(C)=C1","-24.0 - -23.7","?C","-23.9","Celsius"
"BrC1=CN=CC=C1","-27.3 - -27.0","?C","-27.1","Celsius"
"CCCCCCCCCCCl","-31.3 - -31.0","?C","-31.1","Celsius"
"CCCCCCCCCCCCCC(=O)OCC","12.0 - 12.3","?C","12.2","Celsius"
"BrCC(Br)Br","-29.3 - -29.0","?C","-29.1","Celsius"
"[O-][N+](=O)C1=C(F)C=CC(F)=C1","-12.0 - -11.7","?C","-11.8","Celsius"
"ClC(Cl)=C(Cl)Cl","-22.3 - -22.0","?C","-22.1","Celsius"
"CC(C)C1=CC=C(Cl)C=C1","-12.3 - -12.0","?C","-12.2","Celsius"
"CC(C)OC(=O)CC(C)=O","-27.3 - -27.0","?C","-27.1","Celsius"
"BrC1=CC(I)=CC=C1","-9.3 - -9.0","?C","-9.15","Celsius"
"IC1=CC=CC=C1","-31.3 - -31.0","?C","-31.1","Celsius"
"CCCCCCCCCCI","-16.3 - -16.0","?C","-16.1","Celsius"
"N#CC1=CC=CC=C1","-13.0 - -12.7","?C","-12.8","Celsius"
"CCCCCCCCCC","-30.0 - -29.7","?C","-29.9","Celsius"
"O=C1NS(=O)(=O)C2=CC=CC=C12","229.0 - 229.3","?C","229.0","Celsius"
"CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CO)NC(=O)C(Cl)Cl","165.0 - 165.3","?C","165.0","Celsius"
"CCCl","-139.0 - -138.7","?C","-139.0","Celsius"
"CC1=CC=CC=C1S(N)(=O)=O","156.0 - 156.3","?C","156.0","Celsius"
"CC1=CC=NC(N)=N1","160.0 - 160.3","?C","160.0","Celsius"
"C[C@H]1CC[C@@H](C)C1","-134.0 - -133.7","?C","-134.0","Celsius"
"CCC(C)C(C)=C","-134.3 - -134.0","?C","-134.0","Celsius"
"CCC(C)(C)C=C","-134.3 - -134.0","?C","-134.0","Celsius"
"NC(=O)C1=CC(Br)=CC=C1","155.0 - 155.3","?C","155.0","Celsius"
"C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C","146.0 - 146.3","?C","146.0","Celsius"
"S1C2=CC=CC=C2SC2=CC=CC=C12","159.0 - 159.3","?C","159.0","Celsius"
"CC(C)C(C)=C","-157.3 - -157.0","?C","-157.0","Celsius"
"C=CCCC=C","-141.0 - -140.7","?C","-141.0","Celsius"
"CCCC(C)=C","-136.0 - -135.7","?C","-136.0","Celsius"
"CCCC(C)C","-154.0 - -153.7","?C","-154.0","Celsius"
"CC=C(C)C","-134.0 - -133.7","?C","-134.0","Celsius"
"ClC1=CC=C(C=C1)C1=CC=C(Cl)C=C1","149.0 - 149.3","?C","149.0","Celsius"
"CCCCC","-130.0 - -129.7","?C","-130.0","Celsius"
"CCN(CC)CC","-115.0 - -114.7","?C","-115.0","Celsius"
"OC=O","8.0 - 8.32000000000005","?C","8.16","Celsius"
"CCCCC(O)=O","-34.0 - -33.66","?C","-33.8","Celsius"
"CCC=C","-185.35 - -185.0","?C","-185.0","Celsius"
"C=C","-169.35 - -169.0","?C","-169.0","Celsius"
"CC1=NN=C(N)S1","224.5 - 224.85","?C","225.0","Celsius"
"CCC(C)(O)CC","-24.0 - -23.6","?C","-23.8","Celsius"
"CCOP(=O)(OCC)OCC","-56.4 - -56.0","?C","-56.2","Celsius"
"N1C=CC=C1","-23.4","?C","-23.4","Celsius"
"C1CC2=CC=CC=C2C1","-51.4 - -51.0","?C","-51.2","Celsius"
"CC1CCC(=O)CC1","-41.0 - -40.6","?C","-40.8","Celsius"
"CCCCCC(C)(C)O","-50.4 - -50.0","?C","-50.2","Celsius"
"CC1=CC=C(C)S1","-63.0 - -62.6","?C","-62.8","Celsius"
"CCCC1=CC=C(C)C=C1","-64.0 - -63.6","?C","-63.8","Celsius"
"CCCCS(=O)CCCC","32.6 - 33.0","?C","32.8","Celsius"
"CCCCCCCCCCl","-39.4 - -39.0","?C","-39.2","Celsius"
"CCCCCCC(C)O","-32.0 - -31.6","?C","-31.8","Celsius"
"CC1CCCC1(C)C","-22.0 - -21.6","?C","-21.8","Celsius"
"CCCCCCOC=O","-63.0 - -62.6","?C","-62.8","Celsius"
"CC(C)C(C)(C)C(C)(C)C","-36.4 - -36.0","?C","-36.2","Celsius"
"CCOC(=O)CC1=CC=CC=C1","-29.4 - -29.0","?C","-29.2","Celsius"
"CC1=CC=CS1","-63.4 - -63.0","?C","-63.2","Celsius"
"CCC1=CC=C(Cl)C=C1","-63.0 - -62.6","?C","-62.8","Celsius"
"OCC(O)CO","17.8 - 18.2","?C","18.0","Celsius"
"CCCCOC1=CC=CC=C1","-19.4 - -19.0","?C","-19.2","Celsius"
"CC1=CC=CC(=C1)C(C)(C)C","-41.4 - -41.0","?C","-41.2","Celsius"
"CC(Br)CCCBr","-34.4 - -34.0","?C","-34.2","Celsius"
"C1=CC=NC=C1","-42.0 - -41.6","?C","-41.8","Celsius"
"BrC1=CC=CC=C1","-31.0 - -30.6","?C","-30.8","Celsius"
"CC1=CC=CC(C)=C1C","-25.4 - -25.0","?C","-25.2","Celsius"
"CCCCCCCCCCC","-26.0 - -25.6","?C","-25.8","Celsius"
"CC(O)=O","16.6 - 17.0","?C","16.8","Celsius"
"FC1=C(F)C(F)=C(C#N)C(F)=C1F","2.0 - 2.4","?C","2.2","Celsius"
"ClCC1=C(Cl)C=C(Cl)C=C1","-3.0 - -2.6","?C","-2.8","Celsius"
"CC(C)(O)C#C","2.6 - 3.0","?C","2.8","Celsius"
"CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C","-7.4 - -7.0","?C","-7.2","Celsius"
"CC(C)(C)CCC(C)(C)C","-13.0 - -12.6","?C","-12.8","Celsius"
"CCCCC(=O)C1=CC=CC=C1","-9.4 - -9.0","?C","-9.2","Celsius"
"CC1=CC=CC=C1CC1=CC=CC=C1","6.6 - 7.0","?C","6.8","Celsius"
"NCC1=CC=NC=C1","-8.0 - -7.6","?C","-7.8","Celsius"
"OCCOCCO","-10.4 - -10.0","?C","-10.2","Celsius"
"CCCCCCCCCCC1=CC=CC=C1","-14.4 - -14.0","?C","-14.2","Celsius"
"NC1=CC(Cl)=CC=C1","-10.4 - -10.0","?C","-10.2","Celsius"
"CCCCCCCCCCCC","-10.0 - -9.6","?C","-9.8","Celsius"
"CN","-93.4 - -93.0","?C","-93.2","Celsius"
